,feature_selection__k,classification__module__hidden_layer_sizes,classification__module__dropout,html_remover__active,x_test_fitter__active,score
1,0,1,5000,"(10, 10)",0.15,0.9973566662998187
2,0,1,5000,"(10, 10)",0.15,0.9971691314280919
3,1,1,2000,"(5, 10)",0.4,0.996985923899099
4,0,0,20000,"(10, 10)",0.3,0.9974752797220433
5,0,1,5000,"(10, 10)",0.15,0.9976704322316327
6,0,1,5000,"(10, 10)",0.15,0.9967063746988478
8,0,0,20000,"(10, 10)",0.3,0.9978425728293514
9,0,1,5000,"(10, 10)",0.15,0.9972110093708721
10,1,1,2000,"(5, 10)",0.4,0.9963733233069626
11,0,0,20000,"(10, 10)",0.3,0.9975900907520936
12,0,1,20000,"(10, 10)",0.25,0.9972722815246959
13,0,1,10000,"(10, 10)",0.15,0.9980031775424913
14,0,1,5000,"(10, 10)",0.15,0.9976626019037953
15,1,1,2000,"(5, 10)",0.4,0.9975594167049942
16,0,0,20000,"(10, 10)",0.3,0.9979917692131868
17,0,1,20000,"(10, 10)",0.25,0.997486572411613
18,0,1,10000,"(10, 10)",0.15,0.9975899283094294
19,1,1,5000,"(20, 20)",0.1,0.9972916839920906
20,0,0,20000,"(10, 10)",0.2,0.9967796085607771
21,0,0,5000,"(10, 10)",0.1,0.9975594435508401
22,0,1,5000,"(10, 10)",0.15,0.9972803059530132
23,1,0,10000,"(5, 10)",0.15,0.9968204577123034
24,0,1,2000,"(20, 20)",0.4,0.997023832195071
25,0,1,5000,"(10, 5)",0.2,0.9984316154631561
26,0,1,5000,"(10, 10)",0.15,0.9974369797807303
