,feature_selection__k,classification__module__hidden_layer_sizes,classification__module__dropout,classification__optimizer__weight_decay,classification__optimizer__lr,x_test_fitter__active,feature_extraction__pipeline__union__bag_of_words__ngram_range,score
0,10000,"(10, 5, 3)",0.1,0.02,0.01,1,"(1, 5)",0.9991007194244604
1,2000,"(6, 6, 6)",0.1,0.02,0.001,1,"(1, 3)",0.9989344960202051
2,10000,"(6, 6, 6)",0.1,0.02,0.01,1,"(1, 2)",0.9973021582733813
3,2000,"(10, 5, 3)",0.2,0.02,0.001,1,"(1, 5)",0.997135934869126
4,10000,"(6, 6, 6)",0.2,0.02,0.05,1,"(1, 3)",0.9987682726159498
5,2000,"(10, 5, 3)",0.1,0.01,0.001,1,"(1, 3)",0.9989344960202051
6,2000,"(10, 5, 3)",0.2,0.01,0.05,1,"(1, 5)",0.9982014388489209
7,2000,"(6, 6, 6)",0.2,0.02,0.05,1,"(1, 2)",0.9989344960202051
8,2000,"(10, 5, 3)",0.1,0.02,0.001,1,"(1, 5)",0.9962366542935864
9,2000,"(6, 6, 6)",0.1,0.02,0.001,1,"(1, 2)",0.9991007194244604
10,10000,"(6, 6, 6)",0.1,0.02,0.05,1,"(1, 2)",0.9802383752110245
11,2000,"(6, 6, 6)",0.1,0.01,0.05,1,"(1, 2)",0.9975363238958087
12,10000,"(10, 5, 3)",0.2,0.01,0.01,1,"(1, 2)",0.9981949223230111
13,10000,"(10, 5, 3)",0.2,0.01,0.05,1,"(1, 3)",0.9982014388489209
14,10000,"(10, 5, 3)",0.1,0.02,0.05,1,"(1, 5)",0.9991007194244604
15,10000,"(6, 6, 6)",0.1,0.02,0.01,1,"(1, 5)",0.9991007194244604
16,2000,"(6, 6, 6)",0.1,0.01,0.01,1,"(1, 5)",0.997135934869126
17,10000,"(10, 5, 3)",0.1,0.01,0.01,1,"(1, 5)",0.9989344960202051
18,10000,"(10, 5, 3)",0.2,0.02,0.001,1,"(1, 2)",0.9973021582733813
19,2000,"(6, 6, 6)",0.2,0.01,0.05,1,"(1, 5)",0.9989344960202051
20,2000,"(10, 5, 3)",0.2,0.01,0.01,1,"(1, 2)",0.9989344960202051
21,10000,"(6, 6, 6)",0.2,0.02,0.01,1,"(1, 3)",0.9982014388489209
22,10000,"(10, 5, 3)",0.1,0.02,0.001,1,"(1, 5)",0.9991007194244604
23,2000,"(6, 6, 6)",0.2,0.01,0.01,1,"(1, 5)",0.9980352154446656
